idx,Base salt,Initial loading,Final loading,Fitness
250,Cu(NO3)2,0.0,3.0,2.3
251,CuBr2,0.0,4.0,2.82
252,CuBr2,0.0,2.0,2.82
253,CuCl2,0.0,2.0,2.55
254,CuF2,0.0,2.0,2.93
255,CuHPO4,0.0,1.0,3.18
256,CuSeO3,0.0,2.0,3.34
257,CuSeO4,0.0,5.0,2.56
258,CuSO4,3.0,5.0,1.79
259,CuSO4,1.0,5.0,2.12
260,CuSO4,0.0,5.0,2.29
261,CuSO4,1.0,3.0,2.45
262,CuSO4,0.0,3.0,2.67
263,CuSO4,0.0,1.0,3.35
264,Dy(NO3)3,4.0,6.0,2.19
265,DyCl3,0.0,6.0,2.56
266,DyPO4,0.0,2.0,5.58
267,ErCl3,0.0,6.0,2.62
268,ErPO4,0.0,2.0,7.34
269,Eu(IO3)3,0.0,2.0,4.76
270,EuBr3,0.0,6.0,3.01
271,EuCl2,0.0,2.0,3.56
272,EuCl3,0.0,6.0,2.42
273,EuPO4,0.0,2.0,5.86
274,FeSO5H,2.0,5.0,1.74
275,FeSO5H,0.0,5.0,2.01
276,FeSO5H,0.0,2.0,2.6
277,FeSO5H,1.5,3.5,2.01
278,FeSO5H,0.0,3.5,2.28
279,FeSO5H,1.5,3.0,1.92
280,FeSO5H,0.0,3.0,2.21
281,FeSO5H,0.0,1.5,2.57
282,Fe2(SO4)3,7.75,9.0,1.6
283,Fe2(SO4)3,5.03,9.0,1.77
284,Fe2(SO4)3,0.0,9.0,2.11
285,Fe2(SO4)3,5.03,7.75,1.93
286,Fe2(SO4)3,0.0,7.75,2.3
287,Fe2(SO4)3,0.0,5.03,2.48
288,Fe2O3,0.0,1.0,4.19
289,Fe3(PO4)2,1.0,8.0,2.59
290,Fe3(PO4)2,0.0,4.0,3.18
291,FeBr2,0.0,4.0,2.63
292,FeBr2,1.0,2.0,2.43
293,FeC2O4,0.0,2.0,2.87
294,FeCl2,2.0,4.0,1.61
295,FeCl2,1.0,4.0,1.8
296,FeCl2,0.0,4.0,1.97
297,FeCl2,1.0,2.0,2.12
298,FeCl2,0.0,2.0,2.39
299,FeCl3,0.0,6.0,1.82
300,FeCl3,2.5,6.0,1.51
301,FeCl3,0.0,2.5,2.04
302,FePO4,0.0,6.0,1.74
303,FePO4,2.0,4.0,1.91
304,FePO4,0.0,4.0,2.27
305,FePO4,0.0,2.0,2.69
306,FeSO4,4.0,7.0,1.41
307,FeSO4,1.0,7.0,1.78
308,FeSO4,0.0,7.0,1.9
309,FeSO4,1.0,4.0,2.11
310,FeSO4,0.0,4.0,2.29
311,FeSO4,0.0,1.0,2.96
312,FeZn2(PO4)2,3.5,4.0,2.62
313,FeZn2(PO4)3,0.0,4.0,3.81
314,FeZn2(PO4)3,1.5,3.5,3.62
315,Gd(NO3)3,4.0,6.0,2.04
316,Gd(NO3)3,3.0,6.0,2.14
317,GdCl3,0.0,6.0,2.48
318,H2C2O4,0.0,2.0,1.65
319,H2SeO3,0.0,1.0,3.42
320,H2SO4,4.0,6.5,1.02
321,H2SO4,3.0,6.5,1.15
322,H2SO4,2.0,6.5,1.28
323,H2SO4,1.0,6.5,1.41
324,H2SO4,0.0,6.5,1.54
325,H2SO4,3.0,4.0,1.09
326,H2SO4,2.0,4.0,1.25
327,H2SO4,1.0,4.0,1.42
328,H2SO4,0.0,4.0,1.59
329,H2SO4,2.0,3.0,1.22
330,H2SO4,1.0,3.0,1.39
331,H2SO4,0.0,3.0,1.58
332,H2SO4,1.0,2.0,1.53
333,H2SO4,0.0,2.0,1.77
334,H2SO4,0.0,1.0,2.0
335,H3PO4,0.0,0.5,1.98
336,HAuCl4,3.0,4.0,2.87
337,HClO4,1.0,2.0,1.72
338,HClO4,0.0,2.0,1.99
339,HClO4,0.0,1.0,2.11
340,HIO3,0.0,1.0,5.09
341,HfF4,0.0,3.0,3.86
342,HgF2,0.0,2.0,5.75
343,Ho(N3)3,4.0,6.0,1.71
