idx,Base salt,Initial loading,Final loading,Fitness
2264,SnCl4,3,4.0,0.489
2424,ZnF2,0,4.0,3.433
699,Ca2SiO4,4,7.0,1.13
228,MnCl4,2,3.0,0.66
1382,LaCl3,1,6.0,2.124
410,LaPO4,2,11.0,2.06
2105,KCl,1,2.0,0.723
2887,CuF2,2,4.0,1.926
2225,YBr3,2,3.0,0.605
3464,MnCl4,5,8.0,1.053
642,GeF4,4,8.0,1.524
1565,SrI2,4,12.0,1.642
248,VF2,0,12.0,3.522
918,Ni(ClO4)2,5,7.0,0.56
944,LaBr3,6,8.0,0.416
915,LaBr3,6,9.0,0.595
3237,LaI3,3,8.0,1.414
2905,YCl3,3,9.0,1.713
561,WF4,3,8.0,1.955
2107,MgI2,1,2.0,0.834
2165,RbBr,0,1.0,0.722
1096,ZnBr2,0,12.0,2.804
3099,SrF2,7,12.0,1.406
2855,NiBr3,1,9.0,2.002
833,SnBr2,2,4.0,0.91
3117,ZrI4,0,5.0,1.608
3593,VBr4,5,8.0,0.986
3560,RbF,3,4.0,0.966
4041,CrCl4,4,5.0,0.429
1069,GeF4,0,2.0,3.254
3465,BeF2,8,12.0,0.98
2521,CaI2,0,12.0,2.657
831,ScBr3,6,9.0,0.859
1404,CaBr2,4,12.0,1.881
88,RbF,0,2.0,2.485
1085,RbF,0,4.0,2.923
1730,MgBr2,4,8.0,1.346
3929,LaI3,2,4.0,0.633
2865,BaI2,0,6.0,2.029
2959,SnBr2,0,4.0,1.863
3175,CaBr2,7,12.0,1.32
718,BaHPO4,0,2.0,1.14
682,CoPO4,6,9.0,1.2
810,CaBr2,0,1.0,0.975
405,BaHPO4,0,7.0,2.11
144,CsF,0,2.0,1.993
976,Pb(IO3)2,1,2.0,0.44
315,AlF3,2,9.0,2.75
505,Mg(ClO4)2,1,5.0,1.72
564,VPO4,5,9.0,1.5
122,Mn3(PO4)2,0,8.0,2.26
1516,CaI2,1,6.0,1.827
248,CaSO4,0,11.0,2.86
410,LiBr,0,2.0,2.524
3460,NbF4,5,8.0,1.07
4166,ScI3,7,8.0,0.302
2340,YI3,6,7.0,0.317
275,CaCO3,0,5.0,2.7
3231,PbCl2,0,2.0,1.461
424,LaAsO4,1,9.0,2.07
3595,MnBr4,5,8.0,0.982
3039,WCl4,0,4.0,1.717
3978,NiCl2,6,8.0,0.51
2693,VI2,0,6.0,2.425
2922,LaI3,2,9.0,1.903
2662,VBr3,0,8.0,2.433
641,NaBrO3,3,6.0,1.28
1924,SrBr2,8,12.0,0.994
595,BaHAsO4,2,7.0,1.49
309,NiCO3,0,3.0,2.67
2673,CrBr4,0,8.0,2.442
776,MgCl2,1,2.0,1.049
100,VBr4,0,8.0,2.39
3183,SnBr2,1,4.0,1.492
3542,CaBr2,4,7.0,1.002
1902,VCl4,5,8.0,1.054
391,VPO4,2,7.0,2.14
3414,CuBr2,8,12.0,1.104
964,YI3,7,8.0,0.287
3957,MoI4,3,5.0,0.602
2695,VBr4,0,8.0,2.39
803,SnCl2,2,4.0,0.98
124,Al(IO3)3,0,9.0,2.29
2614,SrBr2,0,6.0,2.565
2439,ZnF2,0,8.0,3.173
2116,TiF4,2,3.0,0.763
109,SrI2,0,6.0,2.352
3915,ScCl3,0,1.0,0.615
2064,VBr2,9,12.0,0.797
3048,SnCl4,0,3.0,1.671
621,Ba(ClO4)2,0,4.0,1.39
836,Mn(H2PO4)2,2,4.0,0.75
422,SrCl2,2,12.0,2.191
876,LaAsO4,1,2.0,0.72
319,VPO4,2,9.0,2.52
2970,PbBr2,0,4.0,1.871
781,AlAsO4,5,7.0,0.89
166,CaHPO4,1,3.0,1.22
590,CaHPO4,0,2.0,1.5
3337,SnF4,3,5.0,1.263
251,Na2SO4,0,10.0,2.84
3421,VI4,0,4.0,1.227
393,ZnI2,0,9.0,2.588
871,CaHPO4,1,2.0,0.69
1751,NaCl,0,1.0,1.321
1141,CrCl4,0,8.0,2.653
2000,SrI2,4,7.0,0.969
3061,ScF3,0,2.0,1.63
1449,MgBr2,2,6.0,1.952
4037,GeCl2,7,8.0,0.426
842,SrBr2,6,9.0,0.843
3,Na2Se,0,9.0,3.385
1102,YCl3,0,8.0,2.818
1545,VBr4,0,5.0,1.817
377,SrCO3,0,5.0,2.17
