idx,Base salt,Initial loading,Final loading,Fitness,Origin
3419,VF4,1.0,4.0,65.333820432,s
4628,VI2,7.0,8.0,60.357148499999994,s
4574,ScI3,6.0,8.0,44.323142399999995,s
1345,SrCl2,2.0,12.0,54.56070360000001,s
1530,CaBr2,4.0,9.0,48.59779879999999,s
5573,TiPO4,9.0,11.0,32.2022448,s
427,LaCl3,1.0,7.0,64.7,e
1563,CaI2,6.0,12.0,54.669144,s
5241,AlAsO4,6.0,11.0,45.05173024,s
732,NH4Co(SO4)2,0.0,12.0,95.6,e
3547,SrF2,0.0,2.0,53.585916189,s
5678,Co3(AsO4)2,7.0,8.0,56.71836,s
1035,ZnCl2,0.0,12.0,60.124825166666675,s
1879,VF4,0.0,5.0,72.69838752,s
4326,MoBr3,7.0,9.0,70.433739,s
3152,TiF3,0.0,6.0,56.7605581985,s
3780,VBr2,0.0,2.0,62.80538275,s
540,MgSO4,2.0,4.0,58.8,e
1738,LiBr,2.0,3.0,37.43502,s
376,K2Mn(SO4)2,0.0,4.0,57.41,e
330,H2SO4,1.0,3.0,50.5,e
4915,Ni3(PO4)2,4.0,8.0,53.6675832,s
4123,GeBr2,2.0,4.0,55.027739999999994,s
1694,SnBr2,2.0,4.0,51.582592000000005,s
158,CdF2,0.0,2.0,66.94,e
2594,ZnBr2,8.0,12.0,49.120232,s
4697,GeCl2,8.0,9.0,31.010112000000007,s
2141,AlF3,2.0,6.0,44.93858371199999,s
3600,CoF3,3.0,6.0,46.062793838999994,s
4281,PbBr4,5.0,8.0,56.73075766666667,s
4788,MnSe2,0.0,1.0,33.47658499999999,s
1955,BeF2,2.0,12.0,40.88861748,s
4671,GaCl3,7.0,8.0,37.654236,s
5439,Ca3(PO4)2,3.0,7.0,47.78034,s
2481,VCl4,2.0,5.0,59.06710766666666,s
3806,GaCl3,0.0,2.0,69.359643,s
1171,HfF4,3.0,5.0,48.225259592,s
1709,SrI2,4.0,6.0,58.31741549999999,s
3385,NiI2,0.0,9.0,50.365002222222216,s
5550,Zn3(PO4)2,4.0,7.0,38.1444024,s
4604,TiCl4,4.0,5.0,47.77721000000001,s
2233,VCl4,0.0,4.0,63.75385012499999,s
3621,NaBr,1.0,4.0,47.91863777333333,s
1619,CaI2,0.0,2.0,71.922342,s
3279,BaF2,0.0,6.0,50.35371919933334,s
3464,HfBr4,0.0,5.0,73.9931698,s
413,La(NO3)3,3.0,6.0,55.14,e
4267,ZnI2,2.0,4.0,51.32914549999999,s
329,H2SO4,2.0,3.0,51.5,e
1119,GaI3,0.0,9.0,57.03693366666667,s
3755,BaF2,2.0,6.0,39.0252686465,s
2432,BaF2,2.0,6.0,39.0252686465,s
2145,BaCl2,1.0,9.0,48.977484,s
2852,SrI2,2.0,4.0,53.97663699999999,s
4851,CrAsO4,2.0,11.0,52.957530000000006,s
458,LiMnF4,0.0,1.0,54.9,e
697,Nd(NO3)3,4.0,6.0,52.46,e
1753,GeF4,4.0,5.0,51.64556972,s
4807,BaSe,0.0,4.0,42.1711875,s
5667,Pb(IO3)2,1.0,2.0,51.751836,s
890,UO2(CHOO)2,0.0,1.0,77.0,e
2785,BeCl2,9.0,12.0,26.07816570666667,s
2356,CaI2,2.0,8.0,56.277060000000006,s
2717,ScBr3,4.0,6.0,69.43109535,s
84,Ca(H2PO4)2,0.0,1.0,53.2,e
1085,BaBr2,0.0,12.0,58.5610285,s
2152,ZnI2,0.0,6.0,56.32961483333333,s
1230,ScCl3,0.0,9.0,72.47658243333333,s
941,WO3,0.0,1.0,87.27,e
2831,PbCl4,3.0,5.0,56.216132,s
1889,GeF2,0.0,12.0,52.06484442266666,s
3769,NaI,1.0,4.0,46.63411307333334,s
5478,PbHAsO4,1.0,3.0,49.81043209999999,s
