idx,Base salt,Initial loading,Final loading,Fitness
654,HfF4,2,5.0,1.589
3248,SnCl4,2,5.0,1.358
798,MnCl2,6,9.0,0.928
3079,MgCl2,4,8.0,1.399
731,PbCl4,4,8.0,1.27
703,Ba(H2PO4)2,0,4.0,1.15
157,PbBr2,0,4.0,1.871
1715,MgCl2,2,4.0,1.346
1876,SnBr4,0,3.0,1.216
1015,Sr3(AsO4)2,10,11.0,0.23
808,K2SO4,7,10.0,0.75
655,SnF4,4,8.0,1.514
107,LaBr3,0,8.0,2.324
4051,VI3,8,9.0,0.438
179,PbCl2,0,2.0,1.461
817,Zn(IO3)2,2,4.0,0.86
3566,MoI4,4,8.0,1.043
3294,ZnF2,9,12.0,1.203
1280,KF,1,4.0,2.138
167,BaI2,1,6.0,1.624
80,HfF4,0,5.0,2.604
3845,YF3,2,3.0,0.711
4084,AlCl3,7,8.0,0.376
312,K2SO4,0,10.0,2.37
2397,CuF2,0,6.0,3.67
3782,SnBr2,1,2.0,0.811
508,NaClO4,0,3.0,1.7
1677,ZnF2,8,12.0,1.387
1256,HfF4,0,3.0,2.581
3955,ZnI2,4,6.0,0.589
73,MgCO3,0,5.0,3.01
2340,YI3,6,7.0,0.317
1432,YCl3,2,6.0,1.983
1995,RbI,0,2.0,0.979
3171,SnBr4,0,4.0,1.526
943,Sr(BrO3)2,0,1.0,0.53
1618,GeBr2,4,12.0,1.489
2771,HfF4,1,5.0,2.245
357,AlAsO4,4,11.0,2.25
141,Fe3(PO4)2,0,4.0,1.94
3858,GeCl2,0,1.0,0.711
2122,MoBr3,6,9.0,0.755
3333,CaI2,7,12.0,1.183
848,NaI,1,2.0,0.839
15,Na2Se,5,9.0,1.443
342,Na2HPO4,1,7.0,2.28
3431,VF4,5,8.0,1.074
1752,NiF2,4,8.0,1.31
3869,SnI2,9,12.0,0.663
3996,PbCl4,2,3.0,0.541
486,CaBr2,0,4.0,2.261
1357,CaBr2,1,8.0,2.055
2288,LaI3,6,8.0,0.439
811,PbCl2,2,4.0,0.975
1832,ZnI2,0,2.0,1.282
3880,KBr,1,2.0,0.638
807,HfF4,2,3.0,1.015
3856,PbBr2,1,2.0,0.746
254,NiF2,0,4.0,3.759
354,LaAsO4,0,9.0,2.34
2953,YF3,1,4.0,1.843
2524,GaCl3,0,6.0,2.735
1659,AlF3,6,9.0,1.397
1538,SnF2,0,2.0,1.848
2736,CaBr2,2,9.0,2.168
346,CaF2,2,12.0,2.51
3970,GaCl3,2,3.0,0.557
4045,LaBr3,7,9.0,0.43
522,NaBrO3,0,3.0,1.7
721,CaF2,2,4.0,1.247
1801,KF,1,2.0,1.196
199,ScCl3,6,9.0,0.963
1041,CaF2,0,12.0,2.971
224,NaOH,1,7.0,3.08
1936,BaBr2,1,4.0,1.083
1893,GaCl3,1,3.0,1.113
2548,YF3,1,9.0,2.526
4098,YCl3,3,4.0,0.377
122,Mn3(PO4)2,0,8.0,2.26
1557,BaBr2,1,6.0,1.769
2706,LaI3,0,9.0,2.375
1849,LaI3,3,7.0,1.235
3644,SrCl2,2,4.0,0.881
229,KOH,0,3.0,3.08
2034,SrCl2,2,4.0,0.881
2266,MgBr2,8,9.0,0.465
642,Ba(ClO4)2,1,6.0,1.32
1744,CuCl2,4,9.0,1.318
200,NaOH,0,7.0,3.73
2233,ZnI2,4,6.0,0.589
1127,BaF2,0,9.0,2.821
2264,SnCl4,3,4.0,0.489
2536,LiCl,0,2.0,2.578
4080,WCl4,4,5.0,0.421
228,MnCl4,2,3.0,0.66
1382,LaCl3,1,6.0,2.124
410,LaPO4,2,11.0,2.06
2105,KCl,1,2.0,0.723
2854,PbCl4,0,5.0,2.052
2225,YBr3,2,3.0,0.605
3210,BaCl2,0,2.0,1.458
642,GeF4,4,8.0,1.524
1565,SrI2,4,12.0,1.642
248,VF2,0,12.0,3.522
3668,SrCl2,0,1.0,0.916
944,LaBr3,6,8.0,0.416
915,LaBr3,6,9.0,0.595
3298,AlF3,8,9.0,1.185
716,NiCO3,3,5.0,1.09
561,WF4,3,8.0,1.955
2107,MgI2,1,2.0,0.834
2165,RbBr,0,1.0,0.722
1096,ZnBr2,0,12.0,2.804
3099,SrF2,7,12.0,1.406
2855,NiBr3,1,9.0,2.002
833,SnBr2,2,4.0,0.91
3117,ZrI4,0,5.0,1.608
63,Na2CO3,0,10.0,3.25
3560,RbF,3,4.0,0.966
83,SrCO3,0,6.0,2.78
1069,GeF4,0,2.0,3.254
732,Sr(BrO3)2,2,6.0,1.08
3038,GeCl2,0,2.0,1.67
831,ScBr3,6,9.0,0.859
1404,CaBr2,4,12.0,1.881
88,RbF,0,2.0,2.485
1085,RbF,0,4.0,2.923
1730,MgBr2,4,8.0,1.346
3930,GaI3,8,9.0,0.612
3355,YCl3,1,3.0,1.209
2928,GeF4,1,2.0,1.912
3175,CaBr2,7,12.0,1.32
813,Zn3(AsO4)2,2,4.0,0.87
682,CoPO4,6,9.0,1.2
810,CaBr2,0,1.0,0.975
405,BaHPO4,0,7.0,2.11
144,CsF,0,2.0,1.993
976,Pb(IO3)2,1,2.0,0.44
315,AlF3,2,9.0,2.75
505,Mg(ClO4)2,1,5.0,1.72
564,VPO4,5,9.0,1.5
3496,MgI2,6,9.0,1.063
1516,CaI2,1,6.0,1.827
248,CaSO4,0,11.0,2.86
410,LiBr,0,2.0,2.524
2328,SrBr2,7,8.0,0.333
4166,ScI3,7,8.0,0.302
2341,CaCl2,8,9.0,0.276
275,CaCO3,0,5.0,2.7
3231,PbCl2,0,2.0,1.461
424,LaAsO4,1,9.0,2.07
2958,MgI2,2,6.0,1.826
3267,ZnF2,4,8.0,1.277
3979,CaI2,6,8.0,0.528
3179,SnI4,0,3.0,1.537
2443,VF4,0,5.0,3.153
383,Al(IO3)3,0,9.0,2.29
641,NaBrO3,3,6.0,1.28
1924,SrBr2,8,12.0,0.994
595,BaHAsO4,2,7.0,1.49
774,LiNO3,2,3.0,0.85
876,LaAsO4,1,2.0,0.72
776,MgCl2,1,2.0,1.049
100,VBr4,0,8.0,2.39
3673,HfCl4,3,5.0,0.897
3952,RbI,0,1.0,0.596
1902,VCl4,5,8.0,1.054
637,PbHAsO4,0,3.0,1.41
3414,CuBr2,8,12.0,1.104
964,YI3,7,8.0,0.287
3958,NiI2,4,6.0,0.589
2605,YI3,0,9.0,2.612
803,SnCl2,2,4.0,0.98
582,BaHPO4,2,7.0,1.5
319,VPO4,2,9.0,2.52
2439,ZnF2,0,8.0,3.173
2116,TiF4,2,3.0,0.763
109,SrI2,0,6.0,2.352
825,Mn3(AsO4)2,4,7.0,0.82
2064,VBr2,9,12.0,0.797
3048,SnCl4,0,3.0,1.671
621,Ba(ClO4)2,0,4.0,1.39
198,Ni(ClO4)2,5,6.0,0.32
422,SrCl2,2,12.0,2.191
3678,NiBr2,7,9.0,0.862
3140,MoBr4,0,4.0,1.568
2747,MgCl2,1,4.0,2.08
2655,ZrF4,0,3.0,2.509
166,CaHPO4,1,3.0,1.22
590,CaHPO4,0,2.0,1.5
3337,SnF4,3,5.0,1.263
251,Na2SO4,0,10.0,2.84
3421,VI4,0,4.0,1.227
393,ZnI2,0,9.0,2.588
222,CrAsO4,0,11.0,3.42
1751,NaCl,0,1.0,1.321
1141,CrCl4,0,8.0,2.653
2000,SrI2,4,7.0,0.969
3235,NiF2,4,8.0,1.31
1449,MgBr2,2,6.0,1.952
348,SrHPO4,0,7.0,2.28
842,SrBr2,6,9.0,0.843
3,Na2Se,0,9.0,3.385
1102,YCl3,0,8.0,2.818
1545,VBr4,0,5.0,1.817
377,SrCO3,0,5.0,2.17
4018,CrBr3,0,1.0,0.503
563,Na2HPO4,6,12.0,1.44
297,CaCl2,1,12.0,2.689
1767,GaF3,2,3.0,1.368
1921,CaBr2,2,4.0,1.079
365,Zn3(AsO4)2,0,8.0,2.4
2461,CrCl3,0,9.0,2.861
3045,BaI2,0,4.0,1.728
308,AlI3,0,9.0,3.103
230,SrI2,1,2.0,0.637
3455,VCl4,5,8.0,1.054
408,Co2As2O7,0,6.0,2.2
748,Ca(NO3)2,2,4.0,0.96
3991,MoCl4,3,4.0,0.529
1517,SnF4,2,5.0,1.836
3726,SnBr4,2,4.0,0.862
1347,LaF3,0,6.0,2.261
2113,GeF4,3,4.0,0.777
2248,GaBr3,8,9.0,0.545
4134,GeCl2,8,9.0,0.318
2079,MgCl2,6,8.0,0.736
471,LaBr3,0,8.0,2.324
741,La(IO3)3,2,8.0,1.08
599,RbBr,0,4.0,1.734
3513,NiCl3,2,3.0,1.042
609,Ni2P2O7,0,2.0,1.49
418,CuCl2,0,4.0,2.463
1488,BaCl2,1,6.0,1.861
977,BeI2,8,9.0,0.128
3714,PbF2,7,9.0,0.852
3320,VI4,3,8.0,1.319
1267,ScI3,0,7.0,2.474
538,BaBr2,2,12.0,1.895
3750,SiF4,3,4.0,0.775
3908,SrI2,7,9.0,0.629
1273,VBr2,0,4.0,2.453
181,BaHPO4,0,1.0,0.77
2505,VCl3,0,6.0,2.751
1247,VBr3,1,9.0,2.398
3709,ZnBr2,9,12.0,0.788
3821,MnBr4,3,4.0,0.766
709,K2CO3,1,3.0,1.1
4030,GaI3,0,1.0,0.485
245,MgCO3,0,5.0,3.01
438,SnBr2,0,12.0,2.304
210,AlPO4,0,11.0,3.55
2133,PbBr2,9,12.0,0.738
3589,ScF3,2,3.0,0.956
1662,ZnF2,4,9.0,1.46
705,SrBr2,1,4.0,1.38
799,SrHAsO4,2,4.0,0.86
1621,LaBr3,2,6.0,1.64
3729,SnF2,6,8.0,0.815
1383,GaCl3,3,9.0,1.973
2612,BaF2,0,6.0,2.566
149,BaI2,2,12.0,1.785
324,LaAsO4,0,11.0,2.56
3639,CoCl2,4,6.0,0.895
742,BeI2,4,9.0,1.2
1363,YF3,0,4.0,2.206
3550,ZnCl2,6,9.0,0.958
3961,CrBr3,8,9.0,0.558
437,GaCl3,2,9.0,2.256
2728,BaF2,0,4.0,2.339
1209,SrI2,0,12.0,2.433
1630,PbCl4,3,8.0,1.586
1113,HfF4,0,8.0,2.906
542,Sr(NO3)2,0,4.0,1.61
849,Zn(IO3)2,4,6.0,0.75
64,CrAsO4,0,11.0,3.42
12,NiF2,0,4.0,3.759
93,ZrF4,0,3.0,2.509
3569,YBr3,4,6.0,1.021
1825,YCl3,1,3.0,1.209
1513,VCl4,3,8.0,1.728
4044,VCl4,4,5.0,0.426
584,PbBr4,0,8.0,1.9
2964,VCl2,6,12.0,1.584
805,YBr3,6,10.0,0.972
1022,NiF2,0,8.0,3.337
881,LiCl,3,4.0,0.64
1061,CaCl2,0,9.0,2.868
1792,BeCl2,4,8.0,1.161
3972,LiBr,3,4.0,0.538
877,Ca(IO3)2,2,4.0,0.7
928,Pb(NO3)2,4,6.0,0.55
283,MnAsO4,1,11.0,2.74
2054,VBr4,2,4.0,0.908
429,LaCl3,0,6.0,2.45
3614,PbCl2,2,4.0,0.975
3283,MnCl4,0,2.0,1.318
219,Na2CO3,0,10.0,3.25
1684,BeBr2,4,9.0,1.413
2069,BaI2,8,12.0,0.816
600,CaHAsO4,3,7.0,1.38
3591,VCl2,4,6.0,0.939
360,Ni3(PO4)2,0,7.0,2.39
733,Zn3(AsO4)2,4,8.0,1.11
1953,GeBr2,2,4.0,1.051
3896,CaBr2,6,8.0,0.598
2007,SrCl2,1,2.0,0.966
247,Na2CO3,1,10.0,2.89
702,PbHPO4,0,2.0,1.23
1352,GaCl3,0,4.0,2.191
287,VF4,0,5.0,3.153
3424,YI3,3,6.0,1.209
3976,KI,1,2.0,0.557
910,CoPO4,9,11.0,0.57
1222,NaF,0,2.0,2.413
815,Sr2As2O7,0,2.0,0.86
3816,GaCl3,8,9.0,0.685
800,Mg(ClO4)2,4,7.0,0.82
3596,PbCl4,5,8.0,0.971
2946,SnF4,2,5.0,1.836
3691,NiBr3,1,3.0,0.892
619,Mn3(PO4)2,3,8.0,1.41
2345,GaBr3,7,8.0,0.302
794,CaCl2,0,1.0,0.983
3943,YBr3,2,3.0,0.605
751,CaCl2,2,4.0,1.085
995,LiClO4,3,4.0,0.29
2993,YCl3,3,8.0,1.674
855,Ni(ClO4)2,4,6.0,0.7
2555,CuF2,2,9.0,2.583
1463,NaBr,0,3.0,1.887
4160,GeI2,8,9.0,0.306
2665,LiI,0,3.0,2.433
1138,LiBr,0,4.0,2.702
131,Pb3(AsO4)2,0,11.0,2.2
733,BeBr2,4,8.0,1.205
1412,PbCl2,0,6.0,2.105
1714,RbBr,0,3.0,1.452
872,K2HPO4,1,2.0,0.68
1331,YCl3,2,9.0,2.056
3888,GaBr3,0,1.0,0.682
414,AlF3,3,9.0,2.297
68,CrAsO4,0,9.0,3.34
47,Li2Se,5,7.0,0.929
2378,BeCl2,0,9.0,3.66
1373,CrI3,0,9.0,2.171
18,Li2Se,7,9.0,0.733
1445,BaCl2,1,8.0,1.944
252,MgF2,0,12.0,3.375
919,Cu(IO3)2,4,6.0,0.59
350,CaI2,0,12.0,2.657
1844,MgBr2,0,1.0,1.249
577,La(IO3)3,0,9.0,1.58
457,SrI2,1,12.0,2.221
1624,CaBr2,4,9.0,1.52
568,LiIO3,0,2.0,1.6
90,BaBr2,0,12.0,2.31
2630,BaCl2,0,9.0,2.42
3341,YCl3,4,7.0,1.211
26,MgI2,0,9.0,3.365
1006,BeBr2,0,4.0,3.681
181,LiCl,1,2.0,1.239
1014,MgCl2,1,12.0,3.062
1798,YI3,4,8.0,1.32
670,K2HPO4,0,2.0,1.24
196,Co3(AsO4)2,0,1.0,0.45
1974,LaBr3,0,2.0,1.058
911,NiSO4,9,11.0,0.56
3185,ScCl3,0,2.0,1.417
683,GeF4,2,4.0,1.453
2106,SrBr2,9,12.0,0.742
684,PbHAsO4,3,7.0,1.25
916,Ba(ClO4)2,3,5.0,0.58
654,SrHPO4,0,2.0,1.32
1140,BeF2,2,12.0,2.48
396,CaHAsO4,1,7.0,2.06
3450,ScBr3,0,2.0,1.159
69,BeF2,0,2.0,2.485
2314,CrI3,6,8.0,0.378
3827,VI2,9,12.0,0.701
929,Sr(BrO3)2,4,6.0,0.54
119,PbHPO4,0,7.0,2.3
2872,LiBr,1,4.0,1.873
203,HfF4,5,8.0,1.031
724,KBr,0,2.0,1.252
3986,LaBr3,1,2.0,0.568
1551,WI4,0,8.0,1.838
387,GaBr3,0,9.0,2.555
2037,ZnCl2,4,6.0,0.882
750,K2CO3,0,1.0,0.97
