idx,Base salt,Initial loading,Final loading,Fitness,Origin
1955,BeF2,2.0,12.0,2.48,s
4671,GaCl3,7.0,8.0,0.355,s
5439,Ca3(PO4)2,3.0,7.0,1.03,s
2481,VCl4,2.0,5.0,1.375,s
3806,GaCl3,0.0,2.0,1.435,s
1171,HfF4,3.0,5.0,0.932,s
1709,SrI2,4.0,6.0,0.84,s
3385,NiI2,0.0,9.0,2.289,s
5550,Zn3(PO4)2,4.0,7.0,0.74,s
4604,TiCl4,4.0,5.0,0.427,s
2233,VCl4,0.0,4.0,1.915,s
3621,NaBr,1.0,4.0,1.687,s
1619,CaI2,0.0,2.0,1.231,s
3279,BaF2,0.0,6.0,2.566,s
3464,HfBr4,0.0,5.0,2.174,s
413,La(NO3)3,3.0,6.0,0.9,e
4267,ZnI2,2.0,4.0,0.892,s
329,H2SO4,2.0,3.0,0.54,e
1119,GaI3,0.0,9.0,2.052,s
3755,BaF2,2.0,6.0,1.52,s
2432,BaF2,2.0,6.0,1.52,s
2145,BaCl2,1.0,9.0,2.116,s
2852,SrI2,2.0,4.0,0.773,s
4851,CrAsO4,2.0,11.0,2.65,s
458,LiMnF4,0.0,1.0,1.02,e
697,Nd(NO3)3,4.0,6.0,0.54,e
1753,GeF4,4.0,5.0,0.66,s
4807,BaSe,0.0,4.0,2.128,s
5667,Pb(IO3)2,1.0,2.0,0.44,s
890,UO2(CHOO)2,0.0,1.0,0.75,e
2785,BeCl2,9.0,12.0,0.75,s
2356,CaI2,2.0,8.0,1.606,s
2717,ScBr3,4.0,6.0,0.975,s
84,Ca(H2PO4)2,0.0,1.0,0.47,e
1085,BaBr2,0.0,12.0,2.31,s
2152,ZnI2,0.0,6.0,2.233,s
1230,ScCl3,0.0,9.0,2.935,s
941,WO3,0.0,1.0,2.01,e
2831,PbCl4,3.0,5.0,0.802,s
1889,GeF2,0.0,12.0,2.893,s
3769,NaI,1.0,4.0,1.476,s
5478,PbHAsO4,1.0,3.0,0.95,s
1988,BeF2,0.0,2.0,2.485,s
1830,MgCl2,0.0,9.0,3.56,s
1355,ZnF2,4.0,12.0,2.25,s
1740,SnBr4,3.0,5.0,0.736,s
2982,YF3,3.0,4.0,0.475,s
816,SnCl4,5.0,8.0,0.99,e
2666,BaF2,8.0,12.0,0.99,s
3024,BaCl2,8.0,9.0,0.352,s
4020,ScI3,3.0,6.0,1.192,s
1004,Zr(SO4)2,0.0,1.0,0.93,e
4456,VCl2,6.0,8.0,0.597,s
1410,SnCl2,2.0,12.0,2.011,s
1790,LaI3,6.0,8.0,0.439,s
1431,SnCl2,0.0,4.0,2.059,s
2536,SrBr2,7.0,12.0,1.202,s
1952,GaCl3,0.0,6.0,2.735,s
3263,TaCl4,0.0,8.0,2.586,s
3684,CaBr2,1.0,4.0,1.63,s
3800,ScCl3,0.0,2.0,1.417,s
4258,NiBr2,7.0,9.0,0.862,s
3245,VF4,1.0,5.0,2.536,s
4402,BaCl2,6.0,9.0,0.702,s
5276,PbCO3,0.0,3.0,1.64,s
