idx,Base salt,Initial loading,Final loading,Fitness,Origin
5072,Sr3(PO4)2,0.0,11.0,2.4242424242424243,s
3451,PbF2,0.0,4.0,3.2407680945347117,s
2321,KCl,1.0,4.0,1.3249348392701996,s
4164,SnF2,9.0,12.0,1.6517857142857142,s
3105,VCl2,0.0,12.0,1.356954225352113,s
5544,Zn3(PO4)2,0.0,1.0,3.666666666666667,s
3700,CaBr2,4.0,9.0,1.8138424821002388,s
1490,MgI2,1.0,4.0,2.7284671532846714,s
1233,VF4,0.0,5.0,1.8823880597014928,s
1094,YI3,0.0,7.0,2.7995337995338,s
4992,K2CO3,0.0,10.0,1.4659685863874343,s
5368,Mg2P2O7,0.0,2.0,2.62,s
2281,MnCl4,3.0,8.0,1.7545271629778671,s
1610,PbBr2,0.0,2.0,4.370491803278688,s
2592,GaF3,4.0,6.0,2.176470588235294,s
444,LiCl,1.0,2.0,1.16,e
4973,CrAsO4,0.0,9.0,2.074534161490683,s
2892,CaI2,7.0,9.0,2.099071207430341,s
2114,GaF3,0.0,3.0,2.5196506550218336,s
2595,SrCl2,8.0,12.0,1.3592736705577173,s
8,Al2(OH)4SO4,0.0,2.0,2.18,e
2650,LaF3,3.0,6.0,2.555299539170507,s
4578,MgBr2,8.0,9.0,1.875,s
5239,LiNO3,1.0,3.0,1.6,s
302,FePO4,0.0,6.0,1.74,e
4816,Li2S,7.0,9.0,1.3479789103690687,s
5150,Ba(BrO3)2,0.0,10.0,2.2499999999999996,s
628,Na2Se,4.5,9.0,1.16,e
2262,BaCl2,1.0,6.0,2.1390804597701147,s
2286,VCl4,3.0,8.0,1.7211155378486056,s
4820,CoPO4,0.0,9.0,2.0,s
3393,MnCl4,2.0,8.0,1.754299754299754,s
5009,KOH,1.0,7.0,1.3544973544973546,s
1182,LaI3,6.0,9.0,2.68796992481203,s
338,HClO4,0.0,2.0,1.99,e
3076,YI3,9.0,10.0,2.529411764705882,s
4570,CuCl2,7.0,8.0,1.6981818181818182,s
1331,GeBr2,0.0,12.0,1.6160714285714288,s
4433,VF4,3.0,4.0,1.9594202898550728,s
33,Ba(ClO4)2,1.0,3.0,2.78,e
2973,ZnBr2,6.0,8.0,2.0042194092827006,s
378,K2Ni(SO4)2,0.0,6.0,2.12,e
5223,Sr(OH)2,1.0,3.0,2.4794520547945207,s
